station,loc
Maywood,POINT (-87.8558718992784 41.8902718289124)
Melrose Park,POINT (-87.83877808532193 41.888333286161924)
Westmont,POINT (-87.99396985329561 41.7955863711582)
Fairview Ave.,POINT (-87.97678427290748 41.79561272317177)
Fairview Avenue,POINT (-88.00983309278828 41.795541821852616)
Main St.,POINT (-87.99396985329561 41.7955863711582)
Main St.,POINT (-88.03808204241793 41.79548756985079)
Belmont,POINT (-88.00983309278828 41.795541821852616)
Belmont,POINT (-88.07256398407903 41.79780822603609)
Lisle,POINT (-88.03808204241793 41.79548756985079)
Riverside,POINT (-87.83372892565338 41.824241006593375)
Hollywood,POINT (-87.82023492962063 41.827205855917185)
Hollywood,POINT (-87.84310738316972 41.82215459634485)
Brookfield,POINT (-87.83372892565338 41.824241006593375)
Brookfield,POINT (-87.8575768904296 41.818910880579274)
Congress Park,POINT (-87.84310738316972 41.82215459634485)
Congress Park,POINT (-87.87111221925163 41.815879644522376)
LaGrange Rd.,POINT (-87.8575768904296 41.818910880579274)
LaGrange Rd.,POINT (-87.87857274323736 41.814210818200536)
Stone Ave.,POINT (-87.87111221925163 41.815879644522376)
Stone Ave.,POINT (-87.90140965650656 41.809078878148476)
Western Springs,POINT (-87.87857274323736 41.814210818200536)
Western Springs,POINT (-87.91857321554711 41.80519597498535)
Highlands,POINT (-87.90140965650656 41.809078878148476)
Highlands,POINT (-87.92823681705151 41.80298691600644)
Hinsdale,POINT (-87.91857321554711 41.80519597498535)
Hinsdale,POINT (-87.94567323598 41.79903478091021)
West Hinsdale,POINT (-87.92823681705151 41.80298691600644)
West Hinsdale,POINT (-87.95440503717191 41.79706494033448)
Clarendon Hills,POINT (-87.94567323598 41.79903478091021)
16th St. Junction,POINT (-87.64724774223741 41.86025549366606)
Halsted,POINT (-87.63712198537733 41.86173293064682)
Clarendon Hills,POINT (-87.97678427290748 41.79561272317177)
Westmont,POINT (-87.95440503717191 41.79706494033448)
Halsted St.,POINT (-87.68496945517118 41.857568913424196)
Western Ave.,POINT (-87.64724774223741 41.86025549366606)
Western Ave.,POINT (-87.74517268300964 41.84416169183594)
Cicero,POINT (-87.68496945517118 41.857568913424196)
Clyde,POINT (-87.78346310756369 41.83549900049225)
LaVergne,POINT (-87.77239112273519 41.83838644344669)
LaVergne,POINT (-87.79328621189497 41.83328838597069)
Berwyn,POINT (-87.78346310756369 41.83549900049225)
Berwyn,POINT (-87.80189971389449 41.83133997677839)
Harlem Ave.,POINT (-87.79328621189497 41.83328838597069)
Harlem Ave.,POINT (-87.82023492962063 41.827205855917185)
Riverside,POINT (-87.80189971389449 41.83133997677839)
Cicero,POINT (-87.77239112273519 41.83838644344669)
Clyde,POINT (-87.74517268300964 41.84416169183594)
Lisle,POINT (-88.14519373637415 41.779809240450014)
Naperville,POINT (-88.07256398407903 41.79780822603609)
Naperville,POINT (-88.20852180407533 41.77813010243812)
Route 59,POINT (-88.14519373637415 41.779809240450014)
Route 59,POINT (-88.20852180407533 41.77813010243812)
Aurora,POINT (-88.30767674308736 41.76121000523327)
Randolph St.,POINT (-87.62308734428457 41.88436561776389)
Van Buren St.,POINT (-87.62281175845538 41.876998366934565)
Roosevelt Rd.,POINT (-87.6214196645755 41.86839238000575)
